part_place,part_name,house_type,house_big,floor,house_direct,house_sale_money,house_price,house_age,house_sale_time
宝安 桃源居,桃源盛景园十七区,3室2厅,120,高楼层,东,432,36000,未知,2016.06
福田 景田,紫薇阁,1室1厅,56,中楼层,西,348,62142,2000,2016.06
南山 科技园,凯丽花园,2室2厅,78,高楼层,北,428,54871,1996,2016.06
宝安 桃源居,桃源盛景园十六区,3室2厅,120,高楼层,南,213,17750,2007,2016.06
宝安 桃源居,桃源盛景园十六区,3室2厅,120,高楼层,南,305,25416,2007,2016.06
龙岗 横岗,名门世家,4室2厅,139,低楼层,北,338,24316,2003,2016.06
罗湖 地王,港岛银座,1室1厅,63,低楼层,西北,300,47619,2003,2016.06
福田 百花,长城花园,3室2厅,94,低楼层,南,760,80851,1989,2016.06
龙岗 龙岗中心,振业峦山谷,2室1厅,56,高楼层,东,167.5,29910,未知,2016.06
宝安 西乡,白金假日公寓,2室1厅,41,中楼层,南,245,59756,2006,2016.06
龙岗 龙岗中心,招商依山郡,1室2厅,62,低楼层,南,192,30967,未知,2016.06
罗湖 洪湖,翠盈嘉园,3室2厅,84,高楼层,南,422,50238,2003,2016.06
南山 南山中心,现代城华庭,2室1厅,69,低楼层,西北,410,59420,2004,2016.06
福田 梅林,华茂苑,2室2厅,77,中楼层,南 北,355,46103,1997,2016.06
福田 新洲,蜜园,2室2厅,60,中楼层,南,333,55500,2007,2016.06
罗湖 东门,京基东方华都,1室1厅,40,中楼层,东,234.9,58725,2005,2016.06
龙岗 龙岗中心,振业天峦,3室1厅,89,高楼层,东南,274.5,30842,2012,2016.06
福田 石厦,益田村,3室2厅,97,中楼层,南,610,62886,2001,2016.06
宝安 宝安中心,丽晶国际,2室2厅,79,中楼层,东北,475,60126,2005,2016.06
罗湖 布心,颖隆大厦,1室0厅,37,高楼层,东,117,31621,未知,2016.06
福田 皇岗,皇御苑四期,2室2厅,56,中楼层,西北,328,58571,2012,2016.06
南山 华侨城,世纪假日广场,2室2厅,72,低楼层,东南,408,56666,2009,2016.06
南山 红树湾,世纪村四期,1室1厅,51,中楼层,东南,380,74509,2004,2016.06
福田 景田,七街公馆,1室1厅,44,高楼层,北,302,68636,2010,2016.06
龙岗 龙岗中心,水蓝湾,3室2厅,71,高楼层,南,261.8,36873,2008,2016.06
